slot, fm_row, fm_level, to_row, to_level
24, 4, 3, 5, 1
24, 4, 2, 5, 2
24, 4, 1, 5, 3
24, 5, 3, 6, 1
24, 5, 2, 6, 2
24, 6, 2, 4, 1
24, 4, 1, 5, 4
24, 5, 4, 3, 2
24, 5, 3, 3, 3
24, 5, 2, 3, 4
24, 3, 4, 4, 1
24, 9, 3, 6, 2
24, 3, 3, 9, 4
24, 9, 4, 6, 2
24, 3, 2, 9, 4
24, 3, 2, 9, 5
24, 10, 5, 4, 2
24, 10, 4, 4, 3
24, 4, 5, 5, 2
24, 10, 1, 4, 5
24, 5, 2, 10, 1
24, 9, 5, 6, 2
24, 6, 5, 1, 2
24, 6, 4, 1, 3
24, 6, 3, 1, 4
24, 6, 2, 1, 5
24, 4, 5, 5, 2
24, 4, 5, 5, 2
24, 7, 5, 4, 5
24, 4, 5, 5, 3
24, 7, 4, 4, 5
24, 1, 5, 9, 3
24, 2, 5, 1, 5
24, 9, 3, 2, 5
24, 1, 5, 9, 3
24, 1, 4, 9, 4
