slot, fm_row, fm_level, to_row, to_level
6, 1, 2, 9, 1
6, 4, 2, 1, 2
6, 1, 3, 9, 2
6, 9, 3, 4, 2
6, 1, 1, 9, 2
6, 9, 2, 4, 2
6, 4, 2, 1, 2
6, 5, 3, 10, 2
6, 10, 3, 4, 2
6, 10, 2, 4, 3
6, 4, 2, 5, 2
6, 5, 2, 10, 3
6, 7, 4, 1, 3
6, 9, 5, 7, 2
6, 9, 4, 7, 3
6, 7, 3, 1, 2
6, 7, 2, 1, 3
6, 5, 5, 10, 4
6, 10, 4, 6, 2
6, 10, 3, 6, 3
6, 6, 3, 5, 5
6, 10, 2, 6, 3
6, 8, 5, 4, 2
6, 8, 4, 4, 3
6, 8, 3, 4, 4
6, 8, 2, 4, 5
6, 2, 2, 1, 4
6, 2, 1, 1, 5
6, 1, 5, 9, 4
6, 1, 4, 9, 5
6, 9, 5, 2, 1
6, 5, 5, 3, 4
6, 6, 5, 5, 5
6, 5, 5, 3, 5
6, 6, 4, 5, 5
6, 3, 5, 6, 4
