slot, fm_row, fm_level, to_row, to_level
37420, 1, 2, 10, 1
37420, 1, 1, 10, 2
37420, 4, 3, 1, 1
37420, 10, 2, 4, 3
37420, 10, 1, 7, 3
37420, 7, 3, 1, 2
37420, 7, 2, 1, 3
37420, 1, 3, 10, 1
37420, 1, 2, 10, 2
37420, 9, 3, 4, 4
37420, 4, 5, 7, 2
37420, 4, 4, 7, 3
37420, 7, 3, 9, 2
37420, 7, 2, 9, 3
37420, 1, 4, 10, 2
37420, 1, 3, 10, 3
37420, 10, 2, 8, 4
37420, 4, 5, 5, 2
37420, 4, 4, 5, 3
37420, 9, 4, 4, 4
37420, 5, 3, 9, 4
37420, 5, 2, 9, 5
37420, 6, 4, 7, 2
37420, 6, 3, 7, 3
37420, 6, 2, 7, 4
37420, 1, 1, 10, 2
37420, 3, 5, 1, 1
37420, 10, 2, 3, 5
37420, 2, 5, 5, 2
37420, 9, 5, 2, 5
37420, 5, 2, 9, 5
