slot, fm_row, fm_level, to_row, to_level
19, 5, 3, 7, 1
19, 5, 2, 7, 2
19, 5, 1, 7, 3
19, 7, 3, 10, 1
19, 7, 2, 10, 2
19, 10, 2, 5, 1
19, 2, 3, 5, 2
19, 2, 2, 5, 3
19, 5, 3, 7, 2
19, 5, 2, 7, 3
19, 1, 3, 10, 2
19, 10, 3, 2, 2
19, 10, 2, 2, 3
19, 2, 3, 1, 2
19, 2, 2, 1, 3
19, 8, 4, 5, 2
19, 5, 4, 7, 4
19, 7, 4, 8, 2
19, 5, 3, 7, 4
19, 8, 2, 5, 3
19, 3, 5, 1, 4
19, 1, 4, 10, 2
19, 1, 3, 10, 3
19, 10, 3, 3, 5
19, 1, 2, 10, 3
19, 9, 5, 2, 2
19, 9, 4, 2, 3
19, 2, 5, 8, 2
19, 8, 2, 9, 3
19, 9, 3, 2, 4
19, 3, 5, 1, 2
19, 4, 5, 3, 5
