slot, fm_row, fm_level, to_row, to_level
36, 7, 4, 3, 2
36, 3, 2, 8, 2
36, 7, 3, 3, 2
36, 7, 2, 3, 3
36, 8, 2, 7, 2
36, 3, 3, 8, 2
36, 2, 4, 3, 3
36, 8, 4, 2, 2
36, 3, 3, 8, 4
36, 2, 2, 3, 3
36, 3, 3, 8, 5
36, 2, 1, 4, 4
36, 4, 4, 7, 2
36, 4, 3, 7, 3
36, 4, 2, 7, 4
36, 7, 4, 2, 1
36, 8, 5, 1, 2
36, 3, 5, 8, 5
36, 3, 5, 8, 4
36, 1, 3, 3, 5
36, 8, 4, 1, 3
36, 5, 5, 4, 2
36, 5, 4, 4, 3
36, 4, 5, 7, 4
36, 5, 1, 4, 5
36, 7, 4, 5, 1
36, 10, 5, 2, 2
36, 1, 3, 10, 5
36, 2, 3, 1, 2
36, 10, 5, 2, 3
36, 1, 2, 10, 5
36, 3, 5, 8, 4
36, 9, 5, 3, 5
36, 8, 4, 9, 5
36, 6, 5, 5, 2
36, 4, 5, 6, 5
36, 5, 2, 4, 5
